cellI,x,y,z,V
132,0.06625,0.00025,0.001,5e-10
133,0.06675,0.00025,0.001,5e-10
134,0.06725,0.00025,0.001,5e-10
135,0.06775,0.00025,0.001,5e-10
136,0.06825,0.00025,0.001,5e-10
137,0.06875,0.00025,0.001,5e-10
138,0.06925,0.00025,0.001,5e-10
139,0.06975,0.00025,0.001,5e-10
140,0.07025,0.00025,0.001,5e-10
141,0.07075,0.00025,0.001,5e-10
142,0.07125,0.00025,0.001,5e-10
143,0.07175,0.00025,0.001,5e-10
144,0.07225,0.00025,0.001,5e-10
145,0.07275,0.00025,0.001,5e-10
146,0.07325,0.00025,0.001,5e-10
147,0.07375,0.00025,0.001,5e-10
148,0.07425,0.00025,0.001,5e-10
149,0.07475,0.00025,0.001,5e-10
150,0.07525,0.00025,0.001,5e-10
151,0.07575,0.00025,0.001,5e-10
152,0.07625,0.00025,0.001,5e-10
153,0.07675,0.00025,0.001,5e-10
154,0.07725,0.00025,0.001,5e-10
155,0.07775,0.00025,0.001,5e-10
156,0.07825,0.00025,0.001,5e-10
157,0.07875,0.00025,0.001,5e-10
158,0.07925,0.00025,0.001,5e-10
159,0.07975,0.00025,0.001,5e-10
160,0.08025,0.00025,0.001,5e-10
161,0.08075,0.00025,0.001,5e-10
162,0.08125,0.00025,0.001,5e-10
163,0.08175,0.00025,0.001,5e-10
164,0.08225,0.00025,0.001,5e-10
165,0.08275,0.00025,0.001,5e-10
166,0.08325,0.00025,0.001,5e-10
167,0.08375,0.00025,0.001,5e-10
168,0.08425,0.00025,0.001,5e-10
169,0.08475,0.00025,0.001,5e-10
170,0.08525,0.00025,0.001,5e-10
171,0.08575,0.00025,0.001,5e-10
172,0.08625,0.00025,0.001,5e-10
173,0.08675,0.00025,0.001,5e-10
174,0.08725,0.00025,0.001,5e-10
175,0.08775,0.00025,0.001,5e-10
176,0.08825,0.00025,0.001,5e-10
177,0.08875,0.00025,0.001,5e-10
178,0.08925,0.00025,0.001,5e-10
179,0.08975,0.00025,0.001,5e-10
180,0.09025,0.00025,0.001,5e-10
181,0.09075,0.00025,0.001,5e-10
182,0.09125,0.00025,0.001,5e-10
183,0.09175,0.00025,0.001,5e-10
184,0.09225,0.00025,0.001,5e-10
185,0.09275,0.00025,0.001,5e-10
186,0.09325,0.00025,0.001,5e-10
187,0.09375,0.00025,0.001,5e-10
188,0.09425,0.00025,0.001,5e-10
189,0.09475,0.00025,0.001,5e-10
190,0.09525,0.00025,0.001,5e-10
191,0.09575,0.00025,0.001,5e-10
192,0.09625,0.00025,0.001,5e-10
193,0.09675,0.00025,0.001,5e-10
194,0.09725,0.00025,0.001,5e-10
195,0.09775,0.00025,0.001,5e-10
196,0.09825,0.00025,0.001,5e-10
197,0.09875,0.00025,0.001,5e-10
198,0.09925,0.00025,0.001,5e-10
199,0.09975,0.00025,0.001,5e-10
200,0.10025,0.00025,0.001,5e-10
201,0.10075,0.00025,0.001,5e-10
202,0.10125,0.00025,0.001,5e-10
203,0.10175,0.00025,0.001,5e-10
204,0.10225,0.00025,0.001,5e-10
205,0.10275,0.00025,0.001,5e-10
206,0.10325,0.00025,0.001,5e-10
207,0.10375,0.00025,0.001,5e-10
208,0.10425,0.00025,0.001,5e-10
209,0.10475,0.00025,0.001,5e-10
210,0.10525,0.00025,0.001,5e-10
211,0.10575,0.00025,0.001,5e-10
212,0.10625,0.00025,0.001,5e-10
213,0.10675,0.00025,0.001,5e-10
214,0.10725,0.00025,0.001,5e-10
215,0.10775,0.00025,0.001,5e-10
216,0.10825,0.00025,0.001,5e-10
217,0.10875,0.00025,0.001,5e-10
218,0.10925,0.00025,0.001,5e-10
219,0.10975,0.00025,0.001,5e-10
220,0.11025,0.00025,0.001,5e-10
221,0.11075,0.00025,0.001,5e-10
222,0.11125,0.00025,0.001,5e-10
223,0.11175,0.00025,0.001,5e-10
224,0.11225,0.00025,0.001,5e-10
225,0.11275,0.00025,0.001,5e-10
226,0.11325,0.00025,0.001,5e-10
227,0.11375,0.00025,0.001,5e-10
228,0.11425,0.00025,0.001,5e-10
229,0.11475,0.00025,0.001,5e-10
230,0.11525,0.00025,0.001,5e-10
231,0.11575,0.00025,0.001,5e-10
232,0.11625,0.00025,0.001,5e-10
233,0.11675,0.00025,0.001,5e-10
234,0.11725,0.00025,0.001,5e-10
235,0.11775,0.00025,0.001,5e-10
236,0.11825,0.00025,0.001,5e-10
237,0.11875,0.00025,0.001,5e-10
238,0.11925,0.00025,0.001,5e-10
239,0.11975,0.00025,0.001,5e-10
240,0.12025,0.00025,0.001,5e-10
241,0.12075,0.00025,0.001,5e-10
242,0.12125,0.00025,0.001,5e-10
243,0.12175,0.00025,0.001,5e-10
244,0.12225,0.00025,0.001,5e-10
245,0.12275,0.00025,0.001,5e-10
246,0.12325,0.00025,0.001,5e-10
247,0.12375,0.00025,0.001,5e-10
248,0.12425,0.00025,0.001,5e-10
249,0.12475,0.00025,0.001,5e-10
250,0.12525,0.00025,0.001,5e-10
251,0.12575,0.00025,0.001,5e-10
252,0.12625,0.00025,0.001,5e-10
253,0.12675,0.00025,0.001,5e-10
254,0.12725,0.00025,0.001,5e-10
255,0.12775,0.00025,0.001,5e-10
256,0.00025,0.00075,0.001,5e-10
257,0.00075,0.00075,0.001,5e-10
258,0.00125,0.00075,0.001,5e-10
259,0.00175,0.00075,0.001,5e-10
260,0.00225,0.00075,0.001,5e-10
261,0.00275,0.00075,0.001,5e-10
262,0.00325,0.00075,0.001,5e-10
263,0.00375,0.00075,0.001,5e-10
264,0.00425,0.00075,0.001,5e-10
265,0.00475,0.00075,0.001,5e-10
266,0.00525,0.00075,0.001,5e-10
267,0.00575,0.00075,0.001,5e-10
268,0.00625,0.00075,0.001,5e-10
269,0.00675,0.00075,0.001,5e-10
270,0.00725,0.00075,0.001,5e-10
271,0.00775,0.00075,0.001,5e-10
272,0.00825,0.00075,0.001,5e-10
273,0.00875,0.00075,0.001,5e-10
274,0.00925,0.00075,0.001,5e-10
275,0.00975,0.00075,0.001,5e-10
276,0.01025,0.00075,0.001,5e-10
277,0.01075,0.00075,0.001,5e-10
278,0.01125,0.00075,0.001,5e-10
279,0.01175,0.00075,0.001,5e-10
280,0.01225,0.00075,0.001,5e-10
281,0.01275,0.00075,0.001,5e-10
282,0.01325,0.00075,0.001,5e-10
283,0.01375,0.00075,0.001,5e-10
284,0.01425,0.00075,0.001,5e-10
285,0.01475,0.00075,0.001,5e-10
286,0.01525,0.00075,0.001,5e-10
287,0.01575,0.00075,0.001,5e-10
288,0.01625,0.00075,0.001,5e-10
289,0.01675,0.00075,0.001,5e-10
290,0.01725,0.00075,0.001,5e-10
291,0.01775,0.00075,0.001,5e-10
292,0.01825,0.00075,0.001,5e-10
293,0.01875,0.00075,0.001,5e-10
294,0.01925,0.00075,0.001,5e-10
295,0.01975,0.00075,0.001,5e-10
296,0.02025,0.00075,0.001,5e-10
297,0.02075,0.00075,0.001,5e-10
298,0.02125,0.00075,0.001,5e-10
299,0.02175,0.00075,0.001,5e-10
300,0.02225,0.00075,0.001,5e-10
301,0.02275,0.00075,0.001,5e-10
302,0.02325,0.00075,0.001,5e-10
303,0.02375,0.00075,0.001,5e-10
304,0.02425,0.00075,0.001,5e-10
305,0.02475,0.00075,0.001,5e-10
306,0.02525,0.00075,0.001,5e-10
307,0.02575,0.00075,0.001,5e-10
308,0.02625,0.00075,0.001,5e-10
309,0.02675,0.00075,0.001,5e-10
310,0.02725,0.00075,0.001,5e-10
311,0.02775,0.00075,0.001,5e-10
312,0.02825,0.00075,0.001,5e-10
313,0.02875,0.00075,0.001,5e-10
314,0.02925,0.00075,0.001,5e-10
315,0.02975,0.00075,0.001,5e-10
316,0.03025,0.00075,0.001,5e-10
317,0.03075,0.00075,0.001,5e-10
318,0.03125,0.00075,0.001,5e-10
319,0.03175,0.00075,0.001,5e-10
320,0.03225,0.00075,0.001,5e-10
321,0.03275,0.00075,0.001,5e-10
322,0.03325,0.00075,0.001,5e-10
323,0.03375,0.00075,0.001,5e-10
324,0.03425,0.00075,0.001,5e-10
325,0.03475,0.00075,0.001,5e-10
326,0.03525,0.00075,0.001,5e-10
327,0.03575,0.00075,0.001,5e-10
328,0.03625,0.00075,0.001,5e-10
329,0.03675,0.00075,0.001,5e-10
330,0.03725,0.00075,0.001,5e-10
331,0.03775,0.00075,0.001,5e-10
332,0.03825,0.00075,0.001,5e-10
333,0.03875,0.00075,0.001,5e-10
334,0.03925,0.00075,0.001,5e-10
335,0.03975,0.00075,0.001,5e-10
336,0.04025,0.00075,0.001,5e-10
337,0.04075,0.00075,0.001,5e-10
338,0.04125,0.00075,0.001,5e-10
339,0.04175,0.00075,0.001,5e-10
340,0.04225,0.00075,0.001,5e-10
341,0.04275,0.00075,0.001,5e-10
342,0.04325,0.00075,0.001,5e-10
343,0.04375,0.00075,0.001,5e-10
344,0.04425,0.00075,0.001,5e-10
345,0.04475,0.00075,0.001,5e-10
346,0.04525,0.00075,0.001,5e-10
347,0.04575,0.00075,0.001,5e-10
348,0.04625,0.00075,0.001,5e-10
349,0.04675,0.00075,0.001,5e-10
350,0.04725,0.00075,0.001,5e-10
351,0.04775,0.00075,0.001,5e-10
352,0.04825,0.00075,0.001,5e-10
353,0.04875,0.00075,0.001,5e-10
354,0.04925,0.00075,0.001,5e-10
355,0.04975,0.00075,0.001,5e-10
356,0.05025,0.00075,0.001,5e-10
