cellI,x,y,z,V
0,0.001,0.001,0.001,8e-09
1,0.003,0.001,0.001,8e-09
2,0.005,0.001,0.001,8e-09
3,0.007,0.001,0.001,8e-09
4,0.009,0.001,0.001,8e-09
5,0.011,0.001,0.001,8e-09
6,0.013,0.001,0.001,8e-09
7,0.015,0.001,0.001,8e-09
8,0.017,0.001,0.001,8e-09
9,0.019,0.001,0.001,8e-09
10,0.021,0.001,0.001,8e-09
11,0.023,0.001,0.001,8e-09
12,0.025,0.001,0.001,8e-09
13,0.027,0.001,0.001,8e-09
14,0.029,0.001,0.001,8e-09
15,0.031,0.001,0.001,8e-09
16,0.033,0.001,0.001,8e-09
17,0.035,0.001,0.001,8e-09
18,0.037,0.001,0.001,8e-09
19,0.039,0.001,0.001,8e-09
20,0.041,0.001,0.001,8e-09
21,0.043,0.001,0.001,8e-09
22,0.045,0.001,0.001,8e-09
23,0.047,0.001,0.001,8e-09
24,0.049,0.001,0.001,8e-09
25,0.051,0.001,0.001,8e-09
26,0.053,0.001,0.001,8e-09
27,0.055,0.001,0.001,8e-09
28,0.057,0.001,0.001,8e-09
29,0.059,0.001,0.001,8e-09
30,0.061,0.001,0.001,8e-09
31,0.063,0.001,0.001,8e-09
32,0.065,0.001,0.001,8e-09
33,0.067,0.001,0.001,8e-09
34,0.069,0.001,0.001,8e-09
35,0.071,0.001,0.001,8e-09
36,0.073,0.001,0.001,8e-09
37,0.075,0.001,0.001,8e-09
38,0.077,0.001,0.001,8e-09
39,0.079,0.001,0.001,8e-09
40,0.081,0.001,0.001,8e-09
41,0.083,0.001,0.001,8e-09
42,0.085,0.001,0.001,8e-09
43,0.087,0.001,0.001,8e-09
44,0.089,0.001,0.001,8e-09
45,0.091,0.001,0.001,8e-09
46,0.093,0.001,0.001,8e-09
47,0.095,0.001,0.001,8e-09
48,0.097,0.001,0.001,8e-09
49,0.099,0.001,0.001,8e-09
50,0.101,0.001,0.001,8e-09
51,0.103,0.001,0.001,8e-09
52,0.105,0.001,0.001,8e-09
53,0.107,0.001,0.001,8e-09
54,0.109,0.001,0.001,8e-09
55,0.111,0.001,0.001,8e-09
56,0.113,0.001,0.001,8e-09
57,0.115,0.001,0.001,8e-09
58,0.117,0.001,0.001,8e-09
59,0.119,0.001,0.001,8e-09
60,0.121,0.001,0.001,8e-09
61,0.123,0.001,0.001,8e-09
62,0.125,0.001,0.001,8e-09
63,0.127,0.001,0.001,8e-09
64,0.001,0.003,0.001,8e-09
65,0.003,0.003,0.001,8e-09
66,0.005,0.003,0.001,8e-09
67,0.007,0.003,0.001,8e-09
68,0.009,0.003,0.001,8e-09
69,0.011,0.003,0.001,8e-09
70,0.013,0.003,0.001,8e-09
71,0.015,0.003,0.001,8e-09
72,0.017,0.003,0.001,8e-09
73,0.019,0.003,0.001,8e-09
74,0.021,0.003,0.001,8e-09
75,0.023,0.003,0.001,8e-09
76,0.025,0.003,0.001,8e-09
77,0.027,0.003,0.001,8e-09
78,0.029,0.003,0.001,8e-09
79,0.031,0.003,0.001,8e-09
80,0.033,0.003,0.001,8e-09
81,0.035,0.003,0.001,8e-09
82,0.037,0.003,0.001,8e-09
83,0.039,0.003,0.001,8e-09
84,0.041,0.003,0.001,8e-09
85,0.043,0.003,0.001,8e-09
86,0.045,0.003,0.001,8e-09
87,0.047,0.003,0.001,8e-09
88,0.049,0.003,0.001,8e-09
89,0.051,0.003,0.001,8e-09
90,0.053,0.003,0.001,8e-09
91,0.055,0.003,0.001,8e-09
92,0.057,0.003,0.001,8e-09
93,0.059,0.003,0.001,8e-09
94,0.061,0.003,0.001,8e-09
95,0.063,0.003,0.001,8e-09
96,0.065,0.003,0.001,8e-09
97,0.067,0.003,0.001,8e-09
98,0.069,0.003,0.001,8e-09
99,0.071,0.003,0.001,8e-09
100,0.073,0.003,0.001,8e-09
101,0.075,0.003,0.001,8e-09
102,0.077,0.003,0.001,8e-09
103,0.079,0.003,0.001,8e-09
104,0.081,0.003,0.001,8e-09
105,0.083,0.003,0.001,8e-09
106,0.085,0.003,0.001,8e-09
107,0.087,0.003,0.001,8e-09
108,0.089,0.003,0.001,8e-09
109,0.091,0.003,0.001,8e-09
110,0.093,0.003,0.001,8e-09
111,0.095,0.003,0.001,8e-09
112,0.097,0.003,0.001,8e-09
113,0.099,0.003,0.001,8e-09
114,0.101,0.003,0.001,8e-09
115,0.103,0.003,0.001,8e-09
116,0.105,0.003,0.001,8e-09
117,0.107,0.003,0.001,8e-09
118,0.109,0.003,0.001,8e-09
119,0.111,0.003,0.001,8e-09
120,0.113,0.003,0.001,8e-09
121,0.115,0.003,0.001,8e-09
122,0.117,0.003,0.001,8e-09
123,0.119,0.003,0.001,8e-09
124,0.121,0.003,0.001,8e-09
125,0.123,0.003,0.001,8e-09
126,0.125,0.003,0.001,8e-09
127,0.127,0.003,0.001,8e-09
128,0.001,0.005,0.001,8e-09
129,0.003,0.005,0.001,8e-09
130,0.005,0.005,0.001,8e-09
131,0.007,0.005,0.001,8e-09
132,0.009,0.005,0.001,8e-09
133,0.011,0.005,0.001,8e-09
134,0.013,0.005,0.001,8e-09
135,0.015,0.005,0.001,8e-09
136,0.017,0.005,0.001,8e-09
137,0.019,0.005,0.001,8e-09
138,0.021,0.005,0.001,8e-09
139,0.023,0.005,0.001,8e-09
140,0.025,0.005,0.001,8e-09
141,0.027,0.005,0.001,8e-09
142,0.029,0.005,0.001,8e-09
143,0.031,0.005,0.001,8e-09
144,0.033,0.005,0.001,8e-09
145,0.035,0.005,0.001,8e-09
146,0.037,0.005,0.001,8e-09
147,0.039,0.005,0.001,8e-09
148,0.041,0.005,0.001,8e-09
149,0.043,0.005,0.001,8e-09
150,0.045,0.005,0.001,8e-09
151,0.047,0.005,0.001,8e-09
152,0.049,0.005,0.001,8e-09
153,0.051,0.005,0.001,8e-09
154,0.053,0.005,0.001,8e-09
155,0.055,0.005,0.001,8e-09
156,0.057,0.005,0.001,8e-09
157,0.059,0.005,0.001,8e-09
158,0.061,0.005,0.001,8e-09
159,0.063,0.005,0.001,8e-09
160,0.065,0.005,0.001,8e-09
161,0.067,0.005,0.001,8e-09
162,0.069,0.005,0.001,8e-09
163,0.071,0.005,0.001,8e-09
164,0.073,0.005,0.001,8e-09
165,0.075,0.005,0.001,8e-09
166,0.077,0.005,0.001,8e-09
167,0.079,0.005,0.001,8e-09
168,0.081,0.005,0.001,8e-09
169,0.083,0.005,0.001,8e-09
170,0.085,0.005,0.001,8e-09
171,0.087,0.005,0.001,8e-09
172,0.089,0.005,0.001,8e-09
173,0.091,0.005,0.001,8e-09
174,0.093,0.005,0.001,8e-09
175,0.095,0.005,0.001,8e-09
176,0.097,0.005,0.001,8e-09
177,0.099,0.005,0.001,8e-09
178,0.101,0.005,0.001,8e-09
179,0.103,0.005,0.001,8e-09
180,0.105,0.005,0.001,8e-09
181,0.107,0.005,0.001,8e-09
182,0.109,0.005,0.001,8e-09
183,0.111,0.005,0.001,8e-09
184,0.113,0.005,0.001,8e-09
185,0.115,0.005,0.001,8e-09
186,0.117,0.005,0.001,8e-09
187,0.119,0.005,0.001,8e-09
188,0.121,0.005,0.001,8e-09
189,0.123,0.005,0.001,8e-09
190,0.125,0.005,0.001,8e-09
191,0.127,0.005,0.001,8e-09
192,0.001,0.007,0.001,8e-09
193,0.003,0.007,0.001,8e-09
194,0.005,0.007,0.001,8e-09
195,0.007,0.007,0.001,8e-09
196,0.009,0.007,0.001,8e-09
197,0.011,0.007,0.001,8e-09
198,0.013,0.007,0.001,8e-09
199,0.015,0.007,0.001,8e-09
200,0.017,0.007,0.001,8e-09
201,0.019,0.007,0.001,8e-09
202,0.021,0.007,0.001,8e-09
203,0.023,0.007,0.001,8e-09
204,0.025,0.007,0.001,8e-09
205,0.027,0.007,0.001,8e-09
206,0.029,0.007,0.001,8e-09
207,0.031,0.007,0.001,8e-09
208,0.033,0.007,0.001,8e-09
209,0.035,0.007,0.001,8e-09
210,0.037,0.007,0.001,8e-09
211,0.039,0.007,0.001,8e-09
212,0.041,0.007,0.001,8e-09
213,0.043,0.007,0.001,8e-09
214,0.045,0.007,0.001,8e-09
215,0.047,0.007,0.001,8e-09
216,0.049,0.007,0.001,8e-09
217,0.051,0.007,0.001,8e-09
218,0.053,0.007,0.001,8e-09
219,0.055,0.007,0.001,8e-09
220,0.057,0.007,0.001,8e-09
221,0.059,0.007,0.001,8e-09
222,0.061,0.007,0.001,8e-09
223,0.063,0.007,0.001,8e-09
224,0.065,0.007,0.001,8e-09
225,0.067,0.007,0.001,8e-09
226,0.069,0.007,0.001,8e-09
227,0.071,0.007,0.001,8e-09
228,0.073,0.007,0.001,8e-09
229,0.075,0.007,0.001,8e-09
230,0.077,0.007,0.001,8e-09
231,0.079,0.007,0.001,8e-09
232,0.081,0.007,0.001,8e-09
233,0.083,0.007,0.001,8e-09
234,0.085,0.007,0.001,8e-09
235,0.087,0.007,0.001,8e-09
236,0.089,0.007,0.001,8e-09
237,0.091,0.007,0.001,8e-09
238,0.093,0.007,0.001,8e-09
239,0.095,0.007,0.001,8e-09
240,0.097,0.007,0.001,8e-09
241,0.099,0.007,0.001,8e-09
242,0.101,0.007,0.001,8e-09
243,0.103,0.007,0.001,8e-09
244,0.105,0.007,0.001,8e-09
245,0.107,0.007,0.001,8e-09
246,0.109,0.007,0.001,8e-09
247,0.111,0.007,0.001,8e-09
248,0.113,0.007,0.001,8e-09
249,0.115,0.007,0.001,8e-09
250,0.117,0.007,0.001,8e-09
251,0.119,0.007,0.001,8e-09
252,0.121,0.007,0.001,8e-09
253,0.123,0.007,0.001,8e-09
254,0.125,0.007,0.001,8e-09
255,0.127,0.007,0.001,8e-09
256,0.001,0.009,0.001,8e-09
257,0.003,0.009,0.001,8e-09
258,0.005,0.009,0.001,8e-09
259,0.007,0.009,0.001,8e-09
260,0.009,0.009,0.001,8e-09
261,0.011,0.009,0.001,8e-09
262,0.013,0.009,0.001,8e-09
263,0.015,0.009,0.001,8e-09
264,0.017,0.009,0.001,8e-09
265,0.019,0.009,0.001,8e-09
266,0.021,0.009,0.001,8e-09
267,0.023,0.009,0.001,8e-09
268,0.025,0.009,0.001,8e-09
269,0.027,0.009,0.001,8e-09
270,0.029,0.009,0.001,8e-09
271,0.031,0.009,0.001,8e-09
272,0.033,0.009,0.001,8e-09
273,0.035,0.009,0.001,8e-09
274,0.037,0.009,0.001,8e-09
275,0.039,0.009,0.001,8e-09
276,0.041,0.009,0.001,8e-09
277,0.043,0.009,0.001,8e-09
278,0.045,0.009,0.001,8e-09
279,0.047,0.009,0.001,8e-09
280,0.049,0.009,0.001,8e-09
281,0.051,0.009,0.001,8e-09
282,0.053,0.009,0.001,8e-09
283,0.055,0.009,0.001,8e-09
284,0.057,0.009,0.001,8e-09
285,0.059,0.009,0.001,8e-09
286,0.061,0.009,0.001,8e-09
287,0.063,0.009,0.001,8e-09
288,0.065,0.009,0.001,8e-09
289,0.067,0.009,0.001,8e-09
290,0.069,0.009,0.001,8e-09
291,0.071,0.009,0.001,8e-09
292,0.073,0.009,0.001,8e-09
293,0.075,0.009,0.001,8e-09
294,0.077,0.009,0.001,8e-09
295,0.079,0.009,0.001,8e-09
296,0.081,0.009,0.001,8e-09
297,0.083,0.009,0.001,8e-09
298,0.085,0.009,0.001,8e-09
299,0.087,0.009,0.001,8e-09
300,0.089,0.009,0.001,8e-09
301,0.091,0.009,0.001,8e-09
302,0.093,0.009,0.001,8e-09
303,0.095,0.009,0.001,8e-09
304,0.097,0.009,0.001,8e-09
305,0.099,0.009,0.001,8e-09
306,0.101,0.009,0.001,8e-09
307,0.103,0.009,0.001,8e-09
308,0.105,0.009,0.001,8e-09
309,0.107,0.009,0.001,8e-09
310,0.109,0.009,0.001,8e-09
311,0.111,0.009,0.001,8e-09
312,0.113,0.009,0.001,8e-09
313,0.115,0.009,0.001,8e-09
314,0.117,0.009,0.001,8e-09
315,0.119,0.009,0.001,8e-09
316,0.121,0.009,0.001,8e-09
317,0.123,0.009,0.001,8e-09
318,0.125,0.009,0.001,8e-09
319,0.127,0.009,0.001,8e-09
320,0.001,0.011,0.001,8e-09
321,0.003,0.011,0.001,8e-09
322,0.005,0.011,0.001,8e-09
323,0.007,0.011,0.001,8e-09
324,0.009,0.011,0.001,8e-09
325,0.011,0.011,0.001,8e-09
326,0.013,0.011,0.001,8e-09
327,0.015,0.011,0.001,8e-09
328,0.017,0.011,0.001,8e-09
329,0.019,0.011,0.001,8e-09
330,0.021,0.011,0.001,8e-09
331,0.023,0.011,0.001,8e-09
332,0.025,0.011,0.001,8e-09
333,0.027,0.011,0.001,8e-09
334,0.029,0.011,0.001,8e-09
335,0.031,0.011,0.001,8e-09
336,0.033,0.011,0.001,8e-09
337,0.035,0.011,0.001,8e-09
338,0.037,0.011,0.001,8e-09
339,0.039,0.011,0.001,8e-09
340,0.041,0.011,0.001,8e-09
341,0.043,0.011,0.001,8e-09
342,0.045,0.011,0.001,8e-09
343,0.047,0.011,0.001,8e-09
344,0.049,0.011,0.001,8e-09
345,0.051,0.011,0.001,8e-09
346,0.053,0.011,0.001,8e-09
347,0.055,0.011,0.001,8e-09
348,0.057,0.011,0.001,8e-09
349,0.059,0.011,0.001,8e-09
350,0.061,0.011,0.001,8e-09
351,0.063,0.011,0.001,8e-09
352,0.065,0.011,0.001,8e-09
353,0.067,0.011,0.001,8e-09
354,0.069,0.011,0.001,8e-09
355,0.071,0.011,0.001,8e-09
356,0.073,0.011,0.001,8e-09
357,0.075,0.011,0.001,8e-09
358,0.077,0.011,0.001,8e-09
359,0.079,0.011,0.001,8e-09
360,0.081,0.011,0.001,8e-09
361,0.083,0.011,0.001,8e-09
362,0.085,0.011,0.001,8e-09
363,0.087,0.011,0.001,8e-09
364,0.089,0.011,0.001,8e-09
365,0.091,0.011,0.001,8e-09
366,0.093,0.011,0.001,8e-09
367,0.095,0.011,0.001,8e-09
368,0.097,0.011,0.001,8e-09
369,0.099,0.011,0.001,8e-09
370,0.101,0.011,0.001,8e-09
371,0.103,0.011,0.001,8e-09
372,0.105,0.011,0.001,8e-09
373,0.107,0.011,0.001,8e-09
374,0.109,0.011,0.001,8e-09
375,0.111,0.011,0.001,8e-09
376,0.113,0.011,0.001,8e-09
377,0.115,0.011,0.001,8e-09
378,0.117,0.011,0.001,8e-09
379,0.119,0.011,0.001,8e-09
380,0.121,0.011,0.001,8e-09
381,0.123,0.011,0.001,8e-09
382,0.125,0.011,0.001,8e-09
383,0.127,0.011,0.001,8e-09
384,0.001,0.013,0.001,8e-09
385,0.003,0.013,0.001,8e-09
386,0.005,0.013,0.001,8e-09
387,0.007,0.013,0.001,8e-09
388,0.009,0.013,0.001,8e-09
389,0.011,0.013,0.001,8e-09
390,0.013,0.013,0.001,8e-09
391,0.015,0.013,0.001,8e-09
392,0.017,0.013,0.001,8e-09
393,0.019,0.013,0.001,8e-09
394,0.021,0.013,0.001,8e-09
395,0.023,0.013,0.001,8e-09
396,0.025,0.013,0.001,8e-09
397,0.027,0.013,0.001,8e-09
398,0.029,0.013,0.001,8e-09
399,0.031,0.013,0.001,8e-09
400,0.033,0.013,0.001,8e-09
401,0.035,0.013,0.001,8e-09
402,0.037,0.013,0.001,8e-09
403,0.039,0.013,0.001,8e-09
404,0.041,0.013,0.001,8e-09
405,0.043,0.013,0.001,8e-09
406,0.045,0.013,0.001,8e-09
407,0.047,0.013,0.001,8e-09
408,0.049,0.013,0.001,8e-09
409,0.051,0.013,0.001,8e-09
410,0.053,0.013,0.001,8e-09
411,0.055,0.013,0.001,8e-09
412,0.057,0.013,0.001,8e-09
413,0.059,0.013,0.001,8e-09
414,0.061,0.013,0.001,8e-09
415,0.063,0.013,0.001,8e-09
416,0.065,0.013,0.001,8e-09
417,0.067,0.013,0.001,8e-09
418,0.069,0.013,0.001,8e-09
419,0.071,0.013,0.001,8e-09
420,0.073,0.013,0.001,8e-09
421,0.075,0.013,0.001,8e-09
422,0.077,0.013,0.001,8e-09
423,0.079,0.013,0.001,8e-09
424,0.081,0.013,0.001,8e-09
425,0.083,0.013,0.001,8e-09
426,0.085,0.013,0.001,8e-09
427,0.087,0.013,0.001,8e-09
428,0.089,0.013,0.001,8e-09
429,0.091,0.013,0.001,8e-09
430,0.093,0.013,0.001,8e-09
431,0.095,0.013,0.001,8e-09
432,0.097,0.013,0.001,8e-09
433,0.099,0.013,0.001,8e-09
434,0.101,0.013,0.001,8e-09
435,0.103,0.013,0.001,8e-09
436,0.105,0.013,0.001,8e-09
437,0.107,0.013,0.001,8e-09
438,0.109,0.013,0.001,8e-09
439,0.111,0.013,0.001,8e-09
440,0.113,0.013,0.001,8e-09
441,0.115,0.013,0.001,8e-09
442,0.117,0.013,0.001,8e-09
443,0.119,0.013,0.001,8e-09
444,0.121,0.013,0.001,8e-09
445,0.123,0.013,0.001,8e-09
446,0.125,0.013,0.001,8e-09
447,0.127,0.013,0.001,8e-09
448,0.001,0.015,0.001,8e-09
449,0.003,0.015,0.001,8e-09
450,0.005,0.015,0.001,8e-09
451,0.007,0.015,0.001,8e-09
452,0.009,0.015,0.001,8e-09
453,0.011,0.015,0.001,8e-09
454,0.013,0.015,0.001,8e-09
455,0.015,0.015,0.001,8e-09
456,0.017,0.015,0.001,8e-09
457,0.019,0.015,0.001,8e-09
458,0.021,0.015,0.001,8e-09
459,0.023,0.015,0.001,8e-09
460,0.025,0.015,0.001,8e-09
461,0.027,0.015,0.001,8e-09
462,0.029,0.015,0.001,8e-09
463,0.031,0.015,0.001,8e-09
464,0.033,0.015,0.001,8e-09
465,0.035,0.015,0.001,8e-09
466,0.037,0.015,0.001,8e-09
467,0.039,0.015,0.001,8e-09
